rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group
5,106,1.36805550635329,0,0,-0.215533824965826,0,0,0,0,0,0,0,0,0,0,Naive
6,106,1.3467103537765,0,0,-0.112886065183515,0,0,0,0,0,0,0,0,0,0,Naive
7,106,0.758713506039656,0,0,-0.206192407347157,0,0,0,0,0,0,0,0,0,0,Naive
8,106,0.860536104611207,0,0,-0.11016664674496,0,0,0,0,0,0,0,0,0,0,Naive
9,106,0.842060888936807,0,0,-0.204487821576143,0,0,0,0,0,0,0,0,0,0,Naive
10,106,1.46577505178613,0,0,-0.0874798408486246,0,0,0,0,0,0,0,0,0,0,Naive
1,201,0.492861958742644,0,0,-0.21066409152709,0,0,0,0,0,0,0,0,0,0,Convalescent
2,201,0.435305934264815,0,0,-0.142589814092314,0,0,0,0,0,0,0,0,0,0,Convalescent
3,201,0.330496646293197,0,0,-0.213251881074508,0,0,0,0,0,0,0,0,0,0,Convalescent
4,201,0.126387302231261,0,0,-0.291755699967012,0,0,0,0,0,0,0,0,0,0,Convalescent
5,201,0.128311280173344,0,0,-0.0743421003194268,0,0,0,0,0,0,0,0,0,0,Convalescent
6,201,0.267055238443711,0,0,-0.0201610555059733,0,0,0,0,0,0,0,0,0,0,Convalescent
7,201,0.754216138533597,0,0,0.181264525406059,0,0,0,0,0,0,0,0,0,0,Convalescent
8,201,0.631816770837266,0,0,0.0869612519469371,0,0,0,0,0,0,0,0,0,0,Convalescent
9,201,0.39033789522979,0,0,0.076279949156684,0,0,0,0,0,0,0,0,0,0,Convalescent
10,201,0.508990872228566,0,0,0.0185962648758211,0,0,0,0,0,0,0,0,0,0,Convalescent
1,202,-0.542532723024806,0,0,-0.0645735242691011,0,0,0,0,0,0,0,0,0,0,Convalescent
2,202,-0.343313528018179,0,0,-0.0606174245957724,0,0,0,0,0,0,0,0,0,0,Convalescent
3,202,-0.252546593190415,0,0,0.142387664704609,0,0,0,0,0,0,0,0,0,0,Convalescent
4,202,-1.17608724775715,0,0,-0.0391896301735964,0,0,0,0,0,0,0,0,0,0,Convalescent
5,202,-0.315560501538316,0,0,0.0109510882509741,0,0,0,0,0,0,0,0,0,0,Convalescent
6,202,-0.43186994042871,0,0,0.0055898060820683,0,0,0,0,0,0,0,0,0,0,Convalescent
7,202,-0.435405115081186,0,0,-0.167226130153429,0,0,0,0,0,0,0,0,0,0,Convalescent
8,202,0.234736838394953,0,0,0.119296050128035,0,0,0,0,0,0,0,0,0,0,Convalescent
9,202,-0.755372181102983,0,0,0.285831292449876,0,0,0,0,0,0,0,0,0,0,Convalescent
10,202,-0.0578725805377961,0,0,-0.0480371111264122,0,0,0,0,0,0,0,0,0,0,Convalescent
1,203,-0.701646408662581,0,0,-0.137135503670016,0,0,0,0,0,0,0,0,0,0,Convalescent
2,203,0.206929669569441,0,0,0.564011250823948,0,0,0,0,0,0,0,0,0,0,Convalescent
3,203,-0.100564466118615,0,0,0.0898167858073041,0,0,0,0,0,0,0,0,0,0,Convalescent
4,203,-0.547612510418469,0,0,-0.065929990030946,0,0,0,0,0,0,0,0,0,0,Convalescent
5,203,-0.532233144699143,0,0,-0.040149073504089,0,0,0,0,0,0,0,0,0,0,Convalescent
6,203,-0.110655007452486,0,0,0.101520001128321,0,0,0,0,0,0,0,0,0,0,Convalescent
7,203,-0.588752988287903,0,0,-0.283690968332208,0,0,0,0,0,0,0,0,0,0,Convalescent
8,203,0.0227962227965243,0,0,-0.032147319326056,0,0,0,0,0,0,0,0,0,0,Convalescent
9,203,-0.625163996788401,0,0,-0.0769409844548561,0,0,0,0,0,0,0,0,0,0,Convalescent
10,203,-0.645148512113547,0,0,0.265057636893477,0,0,0,0,0,0,0,0,0,0,Convalescent
1,204,-0.248149747462898,0,0,-0.0888546615934823,0,0,0,0,0,0,0,0,0,0,Convalescent
2,204,-0.507757748908233,0,0,-0.0707486635055825,0,0,0,0,0,0,0,0,0,0,Convalescent
3,204,0.0216615465960141,0,0,0.053154337421317,0,0,0,0,0,0,0,0,0,0,Convalescent
4,204,0.0920814201854509,0,0,0.189864950435895,0,0,0,0,0,0,0,0,0,0,Convalescent
5,204,0.67191992492888,0,0,-0.093667249904564,0,0,0,0,0,0,0,0,0,0,Convalescent
6,204,-0.507792248181248,0,0,-0.343024040230232,0,0,0,0,0,0,0,0,0,0,Convalescent
7,204,-0.128149630841127,0,0,-0.0324308429541678,0,0,0,0,0,0,0,0,0,0,Convalescent
8,204,-0.265328739196715,0,0,0.0444169844823758,0,0,0,0,0,0,0,0,0,0,Convalescent
9,204,-0.0785613623046189,0,0,0.135439049563498,0,0,0,0,0,0,0,0,0,0,Convalescent
10,204,-0.0959110827220853,0,0,0.0545971015439863,0,0,0,0,0,0,0,0,0,0,Convalescent
1,205,-0.284235671930695,0,0,-0.0353373871035333,0,0,0,0,0,0,0,0,0,0,Convalescent
2,205,-0.837261433733868,0,0,-0.00967732811206698,0,0,0,0,0,0,0,0,0,0,Convalescent
3,205,-0.198920035689197,0,0,0.117752101411604,0,0,0,0,0,0,0,0,0,0,Convalescent
