ID,time,y3,censored,split,color,filter
NHP1,0,2.67761,1,All,#4682B4,0
NHP1,1,2.67761,1,All,#4682B4,0
NHP1,2,3.30102,0,All,#4682B4,0
NHP1,3,2.67761,1,All,#4682B4,0
NHP1,4,2.67761,1,All,#4682B4,0
NHP1,5,2.67761,1,All,#4682B4,0
NHP1,7,2.67761,1,All,#4682B4,0
NHP1,9,2.67761,1,All,#4682B4,0
NHP1,14,2.67761,1,All,#4682B4,0
NHP1,23,2.67761,1,All,#4682B4,0
NHP10,0,2.67761,1,All,#4682B4,0
NHP10,1,6.8392,0,All,#4682B4,0
NHP10,2,7.74548,0,All,#4682B4,0
NHP10,3,7.23162,0,All,#4682B4,0
NHP10,4,6.42813,0,All,#4682B4,0
NHP10,5,7.12416,0,All,#4682B4,0
NHP10,7,8.15064,0,All,#4682B4,0
NHP10,10,4.71547,0,All,#4682B4,0
NHP10,14,3.06268,0,All,#4682B4,0
NHP10,23,2.67761,1,All,#4682B4,0
NHP10,29,2.67761,1,All,#4682B4,0
NHP11,0,2.67761,1,All,#4682B4,0
NHP11,1,2.75897,0,All,#4682B4,0
NHP11,2,2.67761,1,All,#4682B4,0
NHP11,3,2.67761,1,All,#4682B4,0
NHP11,4,2.67761,1,All,#4682B4,0
NHP11,5,2.67761,1,All,#4682B4,0
NHP11,7,2.67761,1,All,#4682B4,0
NHP11,10,2.67761,1,All,#4682B4,0
NHP11,14,2.67761,1,All,#4682B4,0
NHP11,23,2.67761,1,All,#4682B4,0
NHP11,29,2.67761,1,All,#4682B4,0
NHP12,0,2.67761,1,All,#4682B4,0
NHP12,1,2.67761,1,All,#4682B4,0
NHP12,2,2.67761,1,All,#4682B4,0
NHP12,3,2.67761,1,All,#4682B4,0
NHP12,4,2.67761,1,All,#4682B4,0
NHP12,5,2.67761,1,All,#4682B4,0
NHP12,7,2.67761,1,All,#4682B4,0
NHP12,9,2.67761,1,All,#4682B4,0
NHP12,14,2.67761,1,All,#4682B4,0
NHP12,23,2.67761,1,All,#4682B4,0
NHP13,0,2.67761,1,All,#4682B4,0
NHP13,1,7.62778,0,All,#4682B4,0
NHP13,2,8.97024,0,All,#4682B4,0
NHP13,3,8.84562,0,All,#4682B4,0
NHP13,4,8.43436,0,All,#4682B4,0
NHP13,5,7.87223,0,All,#4682B4,0
NHP13,7,7.32351,0,All,#4682B4,0
NHP13,10,2.72226,0,All,#4682B4,0
NHP13,14,3.93295,0,All,#4682B4,0
NHP13,23,2.67761,1,All,#4682B4,0
NHP13,29,2.67761,1,All,#4682B4,0
NHP14,0,2.67761,1,All,#4682B4,0
NHP14,1,2.67761,1,All,#4682B4,0
NHP14,2,2.67761,1,All,#4682B4,0
NHP14,3,2.67761,1,All,#4682B4,0
