rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
1,101,-4.73030339950529,0,0,2.01791888507462,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
2,101,-4.76232920899866,0,0,2.26656856619803,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
3,101,-4.80864744547928,0,0,2.04548171153456,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
4,101,-4.81772645183835,0,0,2.56098453129874,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
5,101,-4.58992543111238,0,0,2.11020173790419,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
6,101,-4.3623678481044,0,0,2.2036957017871,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
7,101,-4.70327816842348,0,0,2.47654555698469,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
8,101,-4.59405596903952,0,0,2.09060464661043,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
9,101,-4.75905005723737,0,0,2.08948633142789,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
10,101,-4.50241251313399,0,0,1.6526656901716,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
1,102,-4.73465888255679,0,0,1.24847896568062,3,20,3,0,0.001,10126.2605708232,-2.51068660655337,1.42053507041004,4.5,-1.01654320348335e-7,Naive
