time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
4,102,4.9069e-8,0.0696328,594.133,94.4513,94356.9,-2.54375e-22,-5.58537e-11,0.984475,2115.23,4669.39,4.66555e+6,-1.41217e-23,1.03798e+6,6.84644e-8,0.0696433,637.077,100.074,99973.9,-4.68392e-23,2.99891e-11,1.03195,2269.86,4909.94,4.90591e+6,-2.60023e-24,1.03798e+6,9.7586e-8,0.0696498,609.71,96.3109,96214.6,-3.26414e-22,9.30869e-10,1.06393,2193.57,4770.46,4.76659e+6,-1.81203e-23,1.03798e+6
6,102,1.74969e-8,0.000172616,116.437,18.5359,18517.4,-1.3094e-30,1.48953e-8,0.00244046,414.733,919.601,918684,-7.26918e-32,799085,2.26316e-8,0.000172634,129.866,20.426,20405.6,1.39724e-31,1.0939e-9,0.002558,462.916,1005.67,1.00467e+6,7.75667e-33,799085,3.41936e-8,0.000172648,121.244,19.1777,19158.5,2.16472e-35,2.23914e-8,0.00263726,436.421,953.466,952515,1.20171e-36,799085
9,102,1.73442e-8,2.1648e-8,10.0995,1.60781,1606.2,7.66344e-36,9.64322e-9,3.06067e-7,35.9733,79.7721,79692.3,4.25438e-37,440747,2.24142e-8,2.17309e-8,11.9496,1.87955,1877.67,-4.54722e-37,6.80089e-10,3.2199e-7,42.5955,92.5455,92453,-2.52435e-38,440747,3.38899e-8,2.14531e-8,10.7489,1.70025,1698.55,1.13178e-41,1.43709e-8,3.27709e-7,38.6914,84.5385,84454,6.28292e-43,440747
14,102,1.73438e-8,9.46238e-15,0.171652,0.0273265,27.2992,8.54656e-43,9.63179e-9,1.95534e-13,0.611406,1.35582,1354.46,4.74465e-44,502770,2.24136e-8,7.59741e-15,0.224107,0.0352496,35.2144,-6.49152e-46,6.79153e-10,1.34961e-14,0.798851,1.73563,1733.89,-3.60371e-47,502770,3.38891e-8,1.23606e-14,0.189471,0.0299703,29.9404,7.97472e-49,1.43533e-8,2.43792e-13,0.682013,1.49016,1488.67,4.42704e-50,502770
20,102,1.73438e-8,9.23e-17,0.00129145,0.000205594,0.205389,2.17755e-51,9.63134e-9,2.54309e-15,0.00459999,0.0102006,10.1904,1.20887e-52,577199,2.24135e-8,1.68511e-16,0.00189751,0.000298458,0.29816,-1.47681e-54,6.79112e-10,2.51398e-16,0.00676386,0.0146956,14.6809,-8.19836e-56,577199,3.38891e-8,1.99988e-16,0.00148924,0.000235566,0.235331,1.93887e-57,1.43526e-8,4.2113e-15,0.00536061,0.0117126,11.7009,1.07633e-58,577199
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,387296,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,387296,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,387296
1,103,1615,324.894,1728.64,237.008,237077,13.5115,20661.3,135.525,622.459,1138.72,1.156e+6,0.818824,330600,1499.15,330.542,1725.72,237.583,237645,13.5112,20564.9,142.124,638.925,1161.55,1.18002e+6,0.818803,330600,1642.08,323.557,1740.72,237.024,237093,13.5115,20683.5,133.797,622.501,1122.45,1.13922e+6,0.818826,330600
2,103,1614.56,16.2657,365.904,81.1155,81139.7,2.63247e-8,20633.6,12.5456,147.119,422.601,428888,1.59528e-9,273903,1498.73,16.5433,355.511,79.7026,79724.3,2.64321e-8,20535.7,13.1556,147.621,423.726,430353,1.60179e-9,273903,1641.64,16.1998,374.08,82.0208,82044.8,2.63289e-8,20656.5,12.323,148.89,420.42,426547,1.59554e-9,273903
3,103,1614.5,0.820148,62.6436,16.6312,16630.2,2.67447e-13,20629.7,1.35347,28.2921,96.1561,97122.1,1.62075e-14,217207,1498.68,0.833304,59.0033,15.944,15942.8,2.72823e-13,20531.7,1.40284,27.673,94.4426,95446.4,1.65332e-14,217207,1641.58,0.817032,65.1691,17.0513,17050,2.65697e-13,20652.7,1.32994,29.0101,96.6952,97640.2,1.61014e-14,217207
4,103,1614.5,0.041741,10.1695,2.90653,2905.31,-1.04738e-18,20629.3,0.138269,5.01228,18.5401,18645.2,-6.34715e-20,160511,1498.67,0.0423126,9.26356,2.70733,2706.18,1.19375e-19,20531.3,0.140739,4.76523,17.7742,17882,7.23426e-21,160511,1641.58,0.0416116,10.7798,3.0287,3027.39,-1.07471e-18,20652.3,0.136474,5.216,18.8801,18983.3,-6.5128e-20,160511
