rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group
5,106,0.0274756120242883,0,0,-0.503588081699024,0,0,0,0,0,0,0,0,0,0,Naive
6,106,0.336563499457433,0,0,-0.176424822205001,0,0,0,0,0,0,0,0,0,0,Naive
7,106,-0.0931829568995514,0,0,-0.328547419346911,0,0,0,0,0,0,0,0,0,0,Naive
8,106,0.112442491026368,0,0,-0.119737671398932,0,0,0,0,0,0,0,0,0,0,Naive
9,106,0.261584399510694,0,0,-0.136835210111513,0,0,0,0,0,0,0,0,0,0,Naive
10,106,0.188673885457431,0,0,-0.334747006051848,0,0,0,0,0,0,0,0,0,0,Naive
1,201,0.325647495681854,0,0,-0.289360506677423,0,0,0,0,0,0,0,0,0,0,Convalescent
2,201,0.214349904446835,0,0,-0.512361996607528,0,0,0,0,0,0,0,0,0,0,Convalescent
3,201,-0.0574254022197945,0,0,-0.445808630131284,0,0,0,0,0,0,0,0,0,0,Convalescent
4,201,0.215864774935631,0,0,-0.292387658834836,0,0,0,0,0,0,0,0,0,0,Convalescent
5,201,0.3353848260448,0,0,-0.300198773818607,0,0,0,0,0,0,0,0,0,0,Convalescent
6,201,0.0537109430962759,0,0,-0.0471056794398299,0,0,0,0,0,0,0,0,0,0,Convalescent
7,201,0.196214684695129,0,0,0.0174996346811258,0,0,0,0,0,0,0,0,0,0,Convalescent
8,201,-0.0167917175911433,0,0,-0.135290796927276,0,0,0,0,0,0,0,0,0,0,Convalescent
9,201,0.0939761686713571,0,0,0.0157603511772346,0,0,0,0,0,0,0,0,0,0,Convalescent
10,201,0.0386281488358864,0,0,-0.0450242971358193,0,0,0,0,0,0,0,0,0,0,Convalescent
1,202,-0.136141265717556,0,0,0.248819097263367,0,0,0,0,0,0,0,0,0,0,Convalescent
2,202,-0.412426524047013,0,0,0.097138318288399,0,0,0,0,0,0,0,0,0,0,Convalescent
3,202,-0.160712465584786,0,0,0.714352195036781,0,0,0,0,0,0,0,0,0,0,Convalescent
4,202,-0.461672063891903,0,0,0.122323979836561,0,0,0,0,0,0,0,0,0,0,Convalescent
5,202,0.253289090427692,0,0,0.0755785106398793,0,0,0,0,0,0,0,0,0,0,Convalescent
6,202,-0.251545107951089,0,0,-0.149522735228867,0,0,0,0,0,0,0,0,0,0,Convalescent
7,202,-0.372200611318568,0,0,0.0812265248517559,0,0,0,0,0,0,0,0,0,0,Convalescent
8,202,-0.0717043655334171,0,0,0.891913466333469,0,0,0,0,0,0,0,0,0,0,Convalescent
9,202,0.149102707996284,0,0,0.726507656071342,0,0,0,0,0,0,0,0,0,0,Convalescent
10,202,0.0786020080832977,0,0,0.0543324756594162,0,0,0,0,0,0,0,0,0,0,Convalescent
1,203,-0.118787420581011,0,0,-0.332101390915392,0,0,0,0,0,0,0,0,0,0,Convalescent
2,203,0.199541527795593,0,0,0.713844275476367,0,0,0,0,0,0,0,0,0,0,Convalescent
3,203,0.177867809796688,0,0,-0.252045212346403,0,0,0,0,0,0,0,0,0,0,Convalescent
4,203,0.103672280282124,0,0,-0.0491440330523636,0,0,0,0,0,0,0,0,0,0,Convalescent
5,203,0.0488851540866257,0,0,0.119195462705656,0,0,0,0,0,0,0,0,0,0,Convalescent
6,203,-0.160546526909376,0,0,-0.153485226797178,0,0,0,0,0,0,0,0,0,0,Convalescent
7,203,-0.201989293353881,0,0,-0.309993755419717,0,0,0,0,0,0,0,0,0,0,Convalescent
8,203,0.230864469997845,0,0,0.039322854097515,0,0,0,0,0,0,0,0,0,0,Convalescent
9,203,0.026320745295909,0,0,-0.367906350861204,0,0,0,0,0,0,0,0,0,0,Convalescent
10,203,0.196798434517745,0,0,0.410175422059174,0,0,0,0,0,0,0,0,0,0,Convalescent
1,204,-0.0751231146866303,0,0,-0.350328170022817,0,0,0,0,0,0,0,0,0,0,Convalescent
2,204,-0.214572427545692,0,0,-0.0472940881802827,0,0,0,0,0,0,0,0,0,0,Convalescent
3,204,0.167540859826415,0,0,0.0606642506411912,0,0,0,0,0,0,0,0,0,0,Convalescent
4,204,0.199387618638216,0,0,0.216951432025393,0,0,0,0,0,0,0,0,0,0,Convalescent
5,204,0.539584581015165,0,0,-0.209411354670902,0,0,0,0,0,0,0,0,0,0,Convalescent
6,204,-0.488273821278538,0,0,0.0915807014099947,0,0,0,0,0,0,0,0,0,0,Convalescent
7,204,-0.170250753884833,0,0,-0.0757736563797406,0,0,0,0,0,0,0,0,0,0,Convalescent
8,204,0.157368405631135,0,0,0.0970900307265236,0,0,0,0,0,0,0,0,0,0,Convalescent
9,204,-0.0100524058099516,0,0,0.352724148021287,0,0,0,0,0,0,0,0,0,0,Convalescent
10,204,0.098882188772366,0,0,0.00329555968145744,0,0,0,0,0,0,0,0,0,0,Convalescent
1,205,-0.505759831541557,0,0,0.19839699883112,0,0,0,0,0,0,0,0,0,0,Convalescent
2,205,-0.433643851446227,0,0,0.222592715590649,0,0,0,0,0,0,0,0,0,0,Convalescent
3,205,-0.282636615894967,0,0,0.263262421332309,0,0,0,0,0,0,0,0,0,0,Convalescent
4,205,-0.369192705757181,0,0,0.399759055558757,0,0,0,0,0,0,0,0,0,0,Convalescent
5,205,-0.363360442384495,0,0,0.205931277645053,0,0,0,0,0,0,0,0,0,0,Convalescent
6,205,-0.691517290281781,0,0,0.0274445550631377,0,0,0,0,0,0,0,0,0,0,Convalescent
7,205,-0.247965445038896,0,0,0.324688638610353,0,0,0,0,0,0,0,0,0,0,Convalescent
8,205,-0.580911591790065,0,0,0.106817484813339,0,0,0,0,0,0,0,0,0,0,Convalescent
9,205,-0.32271995924889,0,0,0.24941083180532,0,0,0,0,0,0,0,0,0,0,Convalescent
10,205,-0.22102182662302,0,0,0.170127858078733,0,0,0,0,0,0,0,0,0,0,Convalescent
1,206,0.122426593834834,0,0,0.860324442723144,0,0,0,0,0,0,0,0,0,0,Convalescent
2,206,0.511675901748953,0,0,0.917833759305197,0,0,0,0,0,0,0,0,0,0,Convalescent
3,206,-0.39429632618833,0,0,0.845743556849127,0,0,0,0,0,0,0,0,0,0,Convalescent
4,206,-0.286713092970649,0,0,0.454739292592746,0,0,0,0,0,0,0,0,0,0,Convalescent
5,206,-0.496252577964087,0,0,0.333108566551778,0,0,0,0,0,0,0,0,0,0,Convalescent
6,206,-0.354553111715757,0,0,0.600433128187046,0,0,0,0,0,0,0,0,0,0,Convalescent
7,206,-0.489622309601502,0,0,0.428524529238099,0,0,0,0,0,0,0,0,0,0,Convalescent
8,206,-0.0674859395572427,0,0,0.365079562422825,0,0,0,0,0,0,0,0,0,0,Convalescent
9,206,0.0546826874060803,0,0,0.766264860582408,0,0,0,0,0,0,0,0,0,0,Convalescent
10,206,-0.176282316657773,0,0,0.944603279049994,0,0,0,0,0,0,0,0,0,0,Convalescent
1,301,0.134800461622226,0,0,-0.277180848596628,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,301,-0.0843438539847828,0,0,0.0731935793153972,0,0,0,0,0,0,0,0,0,0,Conv-CD40
