parameter,value,se_sa,rse_sa
beta_N_pow_pop,-7.47001486860668,0.454795343922642,6.08827896493158
fact_beta_T_pop,0,,
fact_delta_T_pop,0,,
delta_N_pop,1.63149107875396,0.293574030466739,17.9942161063457
c_pop,3,,
cI_pop,20,,
k_pop,3,,
g_pop,0,,
mu_pop,0.001,,
P_N_pop,11029.211901113,7846.08915302113,71.139164097748
fact_P_T_pop,-2.6282406287568,0.368172502918267,14.0083255273478
alpha_VLSG_pop,1.42570682730759,0.1350857380622,9.47500113451138
thresh_Weight_pop,4.5,,
beta_immuno_pop,3.59445325678083e-6,1.25340179284208e-6,34.8704435223236
omega_beta_N_pow,0.847337609302401,0.179518987231976,21.186240910488
omega_delta_N,0.295486847459569,0.143194551586883,48.4605500441018
a1,1.03239388514037,0.105045426193309,10.1749368826441
a2,1.03588698546826,0.181455476152023,17.5169182253987
a3,1.19887164886097,0.10956243326807,9.13879591465556
a4,1.60634717305573,0.280063701807688,17.4348177346325
