time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
4,102,0.099117,0.0701445,263.389,108.302,108194,3.87195e-25,7318.19,103.81,1445.63,7201.57,7.29797e+6,2.14998e-26,1.10989e+6,0.181834,0.0702277,294.963,117.981,117864,3.90959e-25,8108.45,109.8,1533.49,7416.46,7.51864e+6,2.17088e-26,1.10989e+6,1.28461,0.0706724,233.457,96.5912,96494.8,3.58422e-25,11495.7,97.5884,1155.65,5638.44,5.73021e+6,1.99022e-26,1.10989e+6
6,102,0.0990804,0.0001771,32.4568,13.3872,13373.8,-8.53642e-39,7107.62,22.3589,273.111,1379.42,1.40037e+6,-4.7392e-40,1.23451e+6,0.181763,0.00018052,38.7764,15.5532,15537.6,1.36827e-38,7875.92,25.3132,308.992,1513.38,1.53716e+6,7.59728e-40,1.23451e+6,1.28429,0.000202874,26.8188,11.1351,11124,-1.09885e-38,11292.8,21.7151,221.137,1090.61,1.11122e+6,-6.10116e-40,1.23451e+6
9,102,0.0990724,3.00926e-7,1.40318,0.578816,578.237,5.22877e-47,7030.88,4.26227,31.0769,144.698,148811,2.90267e-48,1.42145e+6,0.181746,6.32535e-7,1.84733,0.74102,740.28,-6.76064e-45,7784.52,5.33362,38.8012,175.213,180366,-3.75346e-46,1.42145e+6,1.28423,2.16419e-6,1.04352,0.433315,432.884,6.38637e-47,11216.3,4.41162,27.2343,122.183,126468,3.54565e-48,1.42145e+6
14,102,0.099072,5.75982e-10,0.00747228,0.00308233,3.07925,-3.71535e-57,7019.07,0.0439534,0.728771,3.75004,3790.2,-2.0626e-58,1.09068e+6,0.181745,1.47237e-9,0.0115656,0.00463931,4.63467,-2.01642e-55,7769.02,0.0642809,1.06931,5.33806,5396.94,-1.11939e-56,1.09068e+6,1.28423,3.71603e-9,0.00466222,0.00193596,1.93403,-5.59526e-59,11203.4,0.0515325,0.707342,3.56551,3613.43,-3.09867e-60,1.09068e+6
20,102,0.099072,2.59448e-13,1.39661e-5,5.76104e-6,0.00575528,3.94102e-66,7018.99,4.34063e-5,0.00254385,0.0141294,14.1586,2.18747e-67,693761,0.181745,8.02373e-13,2.62496e-5,1.05295e-5,0.010519,1.67607e-65,7768.9,7.63446e-5,0.0045163,0.0243151,24.3671,9.30828e-67,693761,1.28423,1.35089e-12,7.05855e-6,2.93103e-6,0.00292811,-3.26598e-68,11203.3,4.86773e-5,0.00229879,0.0126978,12.7337,-1.80963e-69,693761
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,773411,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,773411,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,773411
1,103,4672.91,162.237,852.477,266.891,266988,13.5111,22071.8,42.8366,199.882,850.631,855197,0.818836,637645,4194.61,188.951,944.907,297.654,297808,13.5125,21922,53.5585,233.646,991.236,998006,0.81892,637645,4771.32,156.704,848.053,259.907,259990,13.5119,22100.9,40.7463,196.659,817.221,821355,0.818889,637645
2,103,4672.29,8.21509,184.505,93.5444,93606.6,2.63312e-8,22062.2,4.2849,48.1583,318.926,321027,1.59578e-9,501880,4193.85,9.57135,190.793,99.157,99244.2,2.63432e-8,21908.5,5.65098,53.8118,358.225,361235,1.59649e-9,501880,4770.72,7.93481,191.088,93.8091,93865.2,2.63632e-8,22091.9,4.03425,48.9399,314.198,316134,1.59772e-9,501880
3,103,4672.18,0.429663,32.2502,19.5382,19547.1,2.27941e-13,22060.4,0.567124,9.66994,74.3481,74747.7,1.38142e-14,366114,4193.73,0.49976,30.7944,19.4466,19459.6,2.30312e-13,21906.1,0.753739,10.3195,80.3199,80879.2,1.39578e-14,366114,4770.62,0.415632,34.9871,20.3337,20341.4,2.20759e-13,22090.3,0.53905,10.1712,75.4111,75785.5,1.33789e-14,366114
4,103,4672.17,0.0237825,5.34796,3.4812,3481.52,3.43943e-19,22060.2,0.0742914,1.8148,14.9584,15013,2.08444e-20,230349,4193.72,0.0273895,4.68593,3.21848,3219.38,-7.98635e-19,21905.8,0.0964373,1.8365,15.4495,15524.7,-4.84002e-20,230349,4770.6,0.0231701,6.09831,3.78379,3783.88,1.45173e-18,22090,0.072198,1.98196,15.6833,15735.3,8.7981e-20,230349
