rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,Group,groupVsnaive
9,106,1.21994526803405,0,0,-0.160266462388593,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,106,1.05481798991629,0,0,-0.391578607711833,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,201,0.362709658176796,0,0,-0.219585181419003,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,201,-0.0287121546128986,0,0,0.0678895803034895,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,201,0.619265162726848,0,0,0.191825917928086,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,201,0.00472758241648041,0,0,-0.427924641729414,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,201,0.336510267854466,0,0,-0.0536825943647242,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,201,-0.0409919702982756,0,0,-0.254791930457376,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,201,0.724923081050535,0,0,0.104818962450409,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,201,-0.206798352663105,0,0,-0.141060226998289,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,201,0.468112902198123,0,0,0.0581120199202002,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,201,-0.193069789699076,0,0,-0.0492032887402511,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,202,-0.728626777184699,0,0,-0.301688231154699,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,202,-0.44257278772963,0,0,0.112446425965709,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,202,-0.272270294624746,0,0,0.723642440743452,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,202,-0.57180123299991,0,0,-0.137242128044617,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,202,-0.689614999942962,0,0,-0.204291554642229,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,202,-0.59606450451012,0,0,0.262748598939862,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,202,-1.34221609115959,0,0,-0.163079205972302,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,202,0.0469073777609308,0,0,0.153029954326772,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,202,-0.869852365132124,0,0,-0.117950334984898,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,202,-1.03885912393139,0,0,-0.0542858580230183,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,203,-0.47186220668133,0,0,0.0794005313469359,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,203,-0.0760131350093426,0,0,0.112291620882925,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,203,-0.0130578444343905,0,0,0.203066560123342,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,203,-0.629931870567541,0,0,-0.146940741227281,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,203,0.461382013204119,0,0,0.85256357336167,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,203,0.104928302540013,0,0,0.283255984420113,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,203,0.31224615690612,0,0,0.249882070279638,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,203,0.357752888076445,0,0,0.529738860186268,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,203,0.0781899153506457,0,0,0.0839908679162748,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,203,-0.686426247318043,0,0,-0.514041405088458,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,204,-0.628011154664209,0,0,-0.319438529114818,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,204,-0.578857221414535,0,0,-0.0742892125938702,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,204,-0.345679791391966,0,0,0.263035155178004,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,204,-0.696836981374465,0,0,-0.187309550766681,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,204,-0.417410121957575,0,0,-0.105459345079534,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,204,0.439557586160836,0,0,0.360461643316336,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,204,0.126586608339542,0,0,0.146034995536473,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,204,0.063233155165988,0,0,-0.2556357408504,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,204,-0.658743719939318,0,0,-0.525612533703841,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,204,0.0430993155236589,0,0,0.0460915116817554,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,205,-0.851090562812287,0,0,-0.143558389625741,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,205,0.127746857521086,0,0,0.0190638846975369,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,205,-0.315553537832362,0,0,-0.110227325037206,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,205,-0.761145464575812,0,0,-0.343740559116109,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,205,-0.643597427426196,0,0,-0.323965674130905,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,205,-0.646327462287643,0,0,-0.0762461076615124,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,205,-0.522787770797847,0,0,0.0868093960855698,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,205,0.305077058036266,0,0,0.360087871593596,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,205,-0.772353842617915,0,0,-0.185934990110516,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,205,-1.12807063387194,0,0,-0.379016246068524,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,206,-0.648948296976876,0,0,0.0742890645766636,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,206,-0.345653416511055,0,0,0.26603407352453,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,206,-0.625636360723969,0,0,0.222425126254757,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,206,-0.168413747786002,0,0,0.522185098960491,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,206,-0.558775361454696,0,0,0.729618978392889,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,206,-0.397256002777371,0,0,0.312452229434434,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,206,-0.908946225175277,0,0,-0.136663774254713,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,206,-0.70734265636017,0,0,-0.437267718893506,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,206,-1.19544413758413,0,0,0.0766105750923715,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,206,-0.405651422139675,0,0,-0.130259156386933,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,301,-1.0243029855902,0,0,0.127761809257302,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,301,-0.684268064069908,0,0,0.633075927494515,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,301,-1.33415849096915,0,0,-0.166806642566893,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,301,-1.06336475436935,0,0,-0.617506544384147,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,301,-0.812035736236607,0,0,-0.0228656611834158,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,301,-0.659508661846082,0,0,0.559238726726119,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,301,-1.70833459723842,0,0,-0.292311345213574,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,301,-1.05380050277019,0,0,-0.117297908940431,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,301,-0.796362607647463,0,0,0.344084638288713,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,301,-1.08493075442307,0,0,-0.167320435186978,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,302,-1.47759434055502,0,0,0.179866365821375,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,302,-0.634223783354747,0,0,0.660977510293404,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,302,-1.87130920091543,0,0,-0.20280644609611,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,302,-1.81986834852446,0,0,0.41507147208003,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,302,-1.84031287329722,0,0,-0.0380643844676053,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,302,-1.92298493036806,0,0,-0.15468701364903,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,302,-0.642773281495464,0,0,0.59714558743724,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,302,-1.77496055943471,0,0,0.194713443313042,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,302,-1.61423877006798,0,0,0.256336520872355,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,302,-0.949958884317544,0,0,0.283254062633732,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,303,-0.920331139876533,0,0,0.0221278800322774,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,303,-1.08135380475566,0,0,0.597029826700247,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,303,-0.773503670836342,0,0,0.170739770346766,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,303,-1.08938756050442,0,0,0.270646930431976,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,303,-1.57706548440136,0,0,-0.720707867510645,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,303,-0.926904770458415,0,0,-0.0836939120523046,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,303,-1.4831764374479,0,0,-0.0317766640307593,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,303,-0.910649675794943,0,0,-0.045037834481753,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,303,-0.490113982696014,0,0,0.371256100569078,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,303,-1.10042155600614,0,0,0.462902369696763,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,304,-0.737485098409402,0,0,-0.00252127879623021,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,304,-1.10984711140627,0,0,-0.296212684889811,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,304,-0.935360996460819,0,0,-0.128803985828802,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,304,-0.775947526674627,0,0,-0.125718470817666,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,304,-0.575148011815974,0,0,0.131782574048046,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,304,-0.314022392034707,0,0,0.183574676030992,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,304,-0.891287276595616,0,0,0.131233652731379,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,304,-0.351658856222637,0,0,-0.213968098748881,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,304,-0.941156926442018,0,0,-0.159825045667009,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,304,-0.638022273540607,0,0,0.131080389638814,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,305,-1.25094791058315,0,0,0.411843149410162,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,305,-1.06096510339755,0,0,0.207983445828492,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,305,-1.47439839606007,0,0,-0.143442210849566,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,305,-0.474254883449656,0,0,0.179836317522047,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,305,-0.683934480077938,0,0,0.294721400592724,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,305,-1.29994711714386,0,0,0.0493978896048505,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,305,-0.634224098683586,0,0,0.0163987939314897,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,305,-1.06338924576904,0,0,0.0118496714827678,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,305,-1.15222141340146,0,0,0.163600938402638,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,305,-1.16792956712925,0,0,0.0194097627025683,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,306,-2.04408428576313,0,0,-0.266378491399865,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,306,-1.19598818864362,0,0,-0.19353753309541,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,306,-1.04895470355539,0,0,-0.111646709461968,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,306,-1.41426264596507,0,0,-0.0813107195092627,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,306,-1.26770921011022,0,0,-0.204955740188,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,306,-0.79755021694692,0,0,0.0560190922769439,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,306,-1.54096727652477,0,0,-0.0925834373127028,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,306,-1.12845490458134,0,0,0.449288166414706,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,306,-0.504306882951168,0,0,-0.268256585662672,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,306,-1.36137376212848,0,0,0.153675373634885,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
