rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
8,104,-5.82893273478798,0,0,1.38053576882852,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
9,104,-5.34755584152832,0,0,1.45507158009827,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
10,104,-5.10029494688556,0,0,1.39173573639068,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
1,105,-5.31410227908248,0,0,1.96473051821648,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
2,105,-5.46816420795835,0,0,1.5167494531504,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
3,105,-5.68101381986459,0,0,1.81681381808473,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
4,105,-5.68931947134062,0,0,1.60186854499626,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
5,105,-5.64802272498199,0,0,1.71076881929407,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
6,105,-5.51774707405868,0,0,1.87905556458164,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
7,105,-5.78957238332776,0,0,1.79433955024968,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
8,105,-5.80678375557928,0,0,1.62532385779797,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
9,105,-5.52024918546218,0,0,1.81031580634199,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
10,105,-5.66453845561687,0,0,1.61776313835933,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
1,106,-5.57701590946022,0,0,1.2168548600652,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
2,106,-5.44880911802476,0,0,1.17260955068151,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
3,106,-5.28957209393087,0,0,1.37248651446755,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
4,106,-5.46140634101749,0,0,1.1325993622159,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
5,106,-5.17109367409103,0,0,1.57952789522196,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
6,106,-5.13498499107639,0,0,1.46770890975813,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
7,106,-5.06171770668434,0,0,1.49825487077707,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
8,106,-5.19847414734275,0,0,1.54065099699303,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
9,106,-5.07006073184563,0,0,1.53059266678805,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
10,106,-5.38746978195379,0,0,1.20372225129896,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Naive,G_Naive
1,201,-6.80528694277282,0,0,1.1652104194627,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
2,201,-6.62304799688877,0,0,1.36742388202261,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
3,201,-6.8732046258622,0,0,1.75443002294845,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
4,201,-6.62883605773534,0,0,1.58349380441757,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
5,201,-6.73031403793646,0,0,1.77151043905801,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
6,201,-6.47451460959637,0,0,1.71977423260439,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
7,201,-6.48470742167043,0,0,1.5207829610532,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
8,201,-6.81200902702587,0,0,1.18420537396313,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
9,201,-6.46366047019047,0,0,1.34948267411677,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
10,201,-6.49162605715499,0,0,1.44838907529561,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
1,202,-7.21581404833453,0,0,1.60352100745299,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
2,202,-7.19171645046285,0,0,1.4981467641761,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
3,202,-6.7248427289274,0,0,2.28465883537717,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
4,202,-7.3169192903063,0,0,1.64131579023181,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
5,202,-7.37666475081129,0,0,1.94136238219507,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
6,202,-7.03550155169752,0,0,2.55833394582082,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
7,202,-7.25318808873463,0,0,1.64175326258401,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
8,202,-7.15650902716522,0,0,1.5566668424763,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
9,202,-7.22468460397132,0,0,1.92257426874372,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
10,202,-7.53457506128266,0,0,1.75059915339379,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
1,203,-7.10222648471337,0,0,1.56926610392809,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
2,203,-6.90847532890806,0,0,1.69634074039123,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
3,203,-6.83032786991301,0,0,1.77125473225036,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
4,203,-7.09099248776376,0,0,1.83874669509378,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
5,203,-6.82157276716525,0,0,1.81623586564252,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
6,203,-7.03847576795922,0,0,1.99525159496465,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
7,203,-7.05771659446386,0,0,1.69270629661706,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
8,203,-6.80304136176384,0,0,2.43936135106784,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
9,203,-6.66436008781434,0,0,1.80194304102241,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
10,203,-6.9027896464221,0,0,1.55914556250259,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
1,204,-7.35142114223622,0,0,1.55701014877602,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
2,204,-7.19057184260708,0,0,1.48008639592521,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
3,204,-7.24887096793484,0,0,1.81886234105063,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
4,204,-7.23750483687833,0,0,1.70880849443871,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
5,204,-7.69015824788526,0,0,1.15395860629197,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
6,204,-7.13751827618258,0,0,1.65835303352419,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
7,204,-6.70134893135689,0,0,1.40118600373254,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
8,204,-7.04540611023559,0,0,1.58313293268165,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
9,204,-6.68743975584275,0,0,2.18481251406839,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
10,204,-6.96939112705429,0,0,1.57100966223624,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
1,205,-7.24042845389692,0,0,1.48102164829889,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
2,205,-6.88556595147851,0,0,1.93691859111552,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
3,205,-6.99574912292356,0,0,1.52384844513489,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
4,205,-7.2536707220634,0,0,1.87062171018039,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
5,205,-6.92428799606592,0,0,1.73437398982858,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
6,205,-6.97473175010316,0,0,1.86790288168432,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
7,205,-7.32024834134504,0,0,1.38449567299779,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
8,205,-6.94869096585511,0,0,1.74302357793261,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
9,205,-7.08027925407168,0,0,1.66952788730077,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
10,205,-7.67294725472501,0,0,1.60118549703735,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
1,206,-7.4193057858109,0,0,1.59434577906088,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
2,206,-6.9495284570907,0,0,1.78711578339245,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
3,206,-7.34208033486115,0,0,2.20669214037889,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
4,206,-7.58578140852105,0,0,1.67358523495811,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
