time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode
9,102,10.9564,9.31493e-6,0.301377,0.106893,106.795,6.89885e-58,14725.5,10.6462,50.5501,123.557,134069,3.82687e-59,15.5981,1.39266e-5,0.340037,0.119332,119.227,4.28893e-57,15442.5,10.8341,51.8149,126.852,137548,2.37894e-58,17.8793,1.34549e-5,0.285936,0.101515,101.427,4.68522e-56,15904.8,9.65716,45.4458,111.628,121164,2.59935e-57
14,102,10.9564,1.98862e-8,0.000644891,0.000228731,0.228522,-1.06756e-83,14684.9,0.533004,2.53552,6.20281,6729.08,-5.92107e-85,15.598,3.19582e-8,0.000781509,0.000274263,0.27402,5.82902e-84,15400.4,0.569458,2.72852,6.68555,7247.75,3.23358e-85,17.8793,2.78562e-8,0.000592933,0.000210507,0.210324,-2.29777e-82,15868.1,0.482369,2.27352,5.58853,6064.82,-1.27546e-83
20,102,10.9564,1.24478e-11,4.03672e-7,1.43175e-7,0.000143044,-2.02282e-119,14682.9,0.0146597,0.0697434,0.170626,185.1,-1.12177e-120,15.598,2.17946e-11,5.32968e-7,1.8704e-7,0.000186875,-1.21145e-117,15398.2,0.0166039,0.0795643,0.194961,211.353,-6.71749e-119,17.8793,1.67918e-11,3.57422e-7,1.26894e-7,0.000126784,1.34235e-118,15866.2,0.0132303,0.0623627,0.153299,166.363,7.46776e-120
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8
1,103,2492.32,282.141,1504.96,368.349,368869,13.5112,21208.9,107.974,466.296,1102.46,1.12362e+6,0.818807,2789.28,266.46,1463.97,353.371,353868,13.5126,21363.1,95.7642,431.89,1020,1.03752e+6,0.818897,2605.92,276.176,1516.8,366.572,367087,13.5112,21269.4,103.366,460.844,1086.46,1.10638e+6,0.818812
2,103,2490.26,14.5547,326.99,128.676,129099,2.65256e-8,21154.2,19.2564,127.359,437.313,451851,1.6074e-9,2787.27,13.7659,332.193,127.505,127919,2.64727e-8,21316.8,16.5504,120.406,413.072,425352,1.60423e-9,2603.84,14.2666,343.202,131.927,132355,2.65191e-8,21217,18.5282,129.674,441.943,455915,1.60702e-9
3,103,2489.7,0.846675,57.6956,26.9838,27106.2,1.22746e-13,21136.6,5.08534,32.8211,120.277,125025,7.43825e-15,2786.71,0.809839,61.5847,27.8272,27950.7,8.52619e-14,21301.7,4.38543,31.402,115.285,119359,5.16681e-15,2603.26,0.838675,63.4386,28.7199,28847.3,8.08282e-14,21199.7,5.00257,34.3129,124.727,129396,4.89809e-15
4,103,2489.6,0.0651468,9.6908,4.84855,4874.11,-1.99407e-19,21131.9,1.3459,8.55642,31.5527,32855.1,-1.20837e-20,2786.59,0.0648187,10.9048,5.2377,5264.47,1.29303e-18,21297.6,1.17284,8.26777,30.5774,31709,7.83565e-20,2603.14,0.0669569,11.1985,5.39076,5418.32,1.22826e-18,21194.9,1.35725,9.17233,33.5572,34869.4,7.44305e-20
6,103,2489.57,0.00102711,0.265123,0.137409,138.212,2.47162e-28,21130.3,0.0923556,0.585727,2.15931,2249.38,1.49776e-29,2786.57,0.00116937,0.332752,0.164693,165.615,-6.464e-28,21296.2,0.0821269,0.577232,2.13464,2214.53,-3.917e-29,2603.11,0.00119813,0.339549,0.168477,169.421,-5.14869e-28,21193.3,0.0978926,0.659896,2.4138,2509.16,-3.11993e-29
9,103,2489.57,4.32846e-6,0.00118836,0.000618931,0.622626,-4.35769e-48,21130.2,0.00165501,0.0104966,0.0386951,40.3098,-2.64067e-49,2786.57,5.87141e-6,0.00175981,0.000874247,0.879229,3.57589e-46,21296.1,0.0015161,0.0106563,0.0394065,40.8817,2.1667e-47,2603.11,5.95485e-6,0.0017786,0.000885838,0.890891,-1.67269e-45,21193.2,0.00189012,0.0127417,0.0466062,48.4478,-1.01355e-46
