time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
6,102,50.8422,0.00165932,8.98638,4.46891,4465.92,1.51681e-36,15012.9,105.86,403.243,1573.98,1.67816e+6,8.41921e-38,267484,60.8766,0.0020195,9.97485,4.86056,4857.54,-7.76648e-37,15591.8,104.882,405.197,1560.88,1.6641e+6,-4.31086e-38,267484,104.987,0.00240726,7.28399,3.6779,3676.45,1.47895e-36,17845.2,77.1797,285.601,1110.18,1.18617e+6,8.20977e-38,267484
9,102,50.8404,2.63913e-5,0.154106,0.0779554,77.9038,-1.79057e-43,14642,19.0547,72.7528,288.095,306842,-9.93879e-45,78807,60.8743,3.50995e-5,0.183591,0.0908833,90.8274,1.50532e-43,15217.5,19.5858,75.8772,296.313,315583,8.35613e-45,78807,104.984,3.55483e-5,0.111784,0.0574243,57.4023,1.24988e-43,17578.6,13.5111,49.8135,195.811,209112,6.93938e-45,78807
14,102,50.8404,2.83637e-8,0.000164029,8.32718e-5,0.0832168,1.47714e-52,14567.4,1.02433,3.9164,15.5408,16548.5,8.2013e-54,76650.3,60.8743,4.25904e-8,0.000220787,0.000109653,0.109586,5.09788e-52,15139,1.12289,4.35691,17.0493,18154,2.82963e-53,76650.3,104.984,3.18054e-8,9.90038e-5,5.10451e-5,0.0510258,-1.97168e-52,17526.5,0.696948,2.56976,10.1153,10801.5,-1.09452e-53,76650.3
20,102,50.8404,7.66878e-12,4.43281e-8,2.2509e-8,2.24941e-5,-3.66047e-64,14563.3,0.0305646,0.116858,0.463792,493.862,-2.03231e-65,74062.2,60.8743,1.33294e-11,6.90688e-8,3.43101e-8,3.42891e-5,-3.53331e-62,15134.4,0.0361991,0.140458,0.549735,585.348,-1.96161e-63,74062.2,104.984,6.90018e-12,2.14687e-8,1.10715e-8,1.10674e-5,-2.38587e-66,17523.8,0.0198025,0.0730087,0.287424,306.919,-1.32435e-67,74062.2
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,444039,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,444039,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,444039
1,103,4946.55,147.495,743.941,241.303,241498,13.5111,22149.1,38.4467,170.345,664.838,669505,0.818838,637116,4583.35,168.009,808.437,264.682,264947,13.5121,22042.6,46.2543,192.485,753.399,759816,0.818895,637116,4885.53,150.957,783.377,250.086,250294,13.5126,22131.6,39.7678,180.408,691.621,696609,0.818925,637116
2,103,4945.54,7.59047,158.306,82.9985,83184.1,2.63188e-8,22136.3,5.10679,42.1849,248.456,251663,1.59501e-9,830194,4582.16,8.6532,161.224,86.83,87057.7,2.63216e-8,22025.8,6.46967,45.9712,272.376,276623,1.59516e-9,830194,4884.46,7.78051,172.758,88.2935,88492.5,2.63545e-8,22117.8,5.45672,46.3139,265.6,269091,1.59717e-9,830194
3,103,4945.27,0.436652,28.0313,17.2839,17338.7,-2.6409e-14,22132.5,1.13028,9.75053,62.2877,63272.6,-1.6005e-15,1.02327e+6,4581.86,0.49584,26.4955,17.0409,17104.5,1.9726e-13,22021,1.4333,10.3758,66.486,67754.6,1.19545e-14,1.02327e+6,4884.16,0.452164,31.8187,18.9887,19048.8,3.52065e-14,22113.6,1.25509,11.1033,68.8076,69908.2,2.13363e-15,1.02327e+6
4,103,4945.22,0.0328708,4.87957,3.15234,3163.9,1.26666e-21,22131.5,0.267056,2.3276,14.8629,15110.7,7.67532e-23,1.21635e+6,4581.8,0.0362284,4.25606,2.89754,2910.19,3.24053e-19,22019.8,0.332545,2.42684,15.5191,15831,1.96388e-20,1.21635e+6,4884.1,0.0352255,5.76591,3.59222,3605.27,-5.7564e-20,22112.5,0.307305,2.74373,16.9951,17280.9,-3.48855e-21,1.21635e+6
6,103,4945.21,0.000520306,0.136577,0.0936077,93.9889,-4.1766e-28,22131.3,0.0150802,0.126907,0.830974,845.198,-2.53082e-29,784895,4581.79,0.000487143,0.100759,0.073475,73.837,-8.66524e-26,22019.5,0.0180243,0.127107,0.832829,849.99,-5.25149e-27,784895,4884.09,0.000624685,0.176035,0.11566,116.122,1.51621e-26,22112.2,0.0186072,0.160799,1.01935,1036.91,9.18875e-28,784895
