time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
4,102,624.819,0.354377,93.2668,45.222,45460.7,-7.51773e-25,22255.2,389.69,899.333,2662.8,3.04941e+6,-4.17318e-26,1.03798e+6,657.126,0.378845,101.321,48.2468,48507,2.57152e-25,22373.6,390.111,914.916,2713.4,3.10037e+6,1.42705e-26,1.03798e+6,670.612,0.370113,95.5397,45.9263,46180.2,1.29782e-25,22536.8,372.471,868.234,2583.05,2.95253e+6,7.20058e-27,1.03798e+6
6,102,624.482,0.0157229,6.47518,3.16945,3181.82,8.69958e-33,20667.6,184.92,588.222,1987.92,2.17067e+6,4.83888e-34,799085,656.751,0.0178446,7.39724,3.55386,3567.95,-1.57119e-32,20773.4,187.325,606.534,2049.14,2.23423e+6,-8.71811e-34,799085,670.254,0.0168484,6.74439,3.27236,3285.75,-3.33091e-34,21022,176.475,565.85,1916.25,2.09063e+6,-1.87094e-35,799085
9,102,624.469,0.000114371,0.11679,0.0575173,57.574,3.72232e-39,20138.8,16.8752,93.0831,390.321,406789,2.07045e-40,440747,656.736,0.00014033,0.143905,0.0695564,69.627,-6.36693e-39,20231.3,17.6003,99.2296,414.577,431745,-3.53372e-40,440747,670.239,0.000126012,0.124685,0.0608782,60.9432,-1.49078e-40,20515.9,16.2371,90.2341,378.32,394162,-8.37451e-42,440747
14,102,624.469,1.3188e-7,0.000143297,7.06183e-5,0.0706794,-9.58951e-50,20095.4,0.329169,1.72213,7.28837,7609.92,-5.33404e-51,502770,656.736,1.84282e-7,0.000200316,9.68837e-5,0.0969709,1.69568e-49,20185,0.366482,1.96046,8.26583,8623.68,9.41155e-51,502770,670.239,1.51589e-7,0.000159363,7.7862e-5,0.0779356,3.68405e-51,20473.9,0.323021,1.70283,7.20498,7520.47,2.06959e-52,502770
20,102,624.469,5.14243e-11,4.6116e-8,2.27096e-8,2.27383e-5,3.39012e-64,20094.4,0.0045577,0.0211259,0.0859003,90.3676,1.88538e-65,577199,656.736,8.35577e-11,7.50038e-8,3.62489e-8,3.62962e-5,1.84704e-64,20183.9,0.0054608,0.0258592,0.104833,110.183,1.02513e-65,577199,670.239,6.20486e-11,5.38685e-8,2.62991e-8,2.63347e-5,-1.72877e-65,20472.9,0.00456764,0.0213318,0.0867472,91.2236,-9.71028e-67,577199
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,387296,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,387296,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,387296
1,103,2450.89,284.135,1389.63,456.693,457241,13.5111,21166.5,117.444,442.213,1644.78,1.67372e+6,0.818808,330600,2426.93,285.386,1397.48,457.5,458049,13.5125,21152.5,118.752,446.66,1661.97,1.69147e+6,0.818888,330600,2453.95,283.983,1421.1,461.886,462436,13.5125,21167.5,117.679,451.72,1670.38,1.69962e+6,0.818889,330600
2,103,2448.86,14.6189,269.052,146.906,147281,2.65991e-8,21099.9,22.0355,116.035,630.466,647530,1.61189e-9,273903,2424.9,14.6821,270.92,147.29,147666,2.65731e-8,21084.6,22.4363,117.636,638.585,656006,1.61031e-9,273903,2451.88,14.6234,283.553,151.804,152186,2.65729e-8,21099.4,22.5091,121.696,653.785,671304,1.6103e-9,273903
3,103,2448.43,0.817653,41.5473,27.7664,27854.4,5.27739e-14,21082,5.13158,28.2944,167.111,171855,3.19805e-15,217207,2424.46,0.821092,41.8996,27.8713,27959.5,5.26837e-14,21066.2,5.25025,28.8121,169.902,174760,3.19258e-15,217207,2451.43,0.822454,45.3348,29.4772,29568.7,-3.86073e-14,21080.6,5.36581,30.4509,177.455,182423,-2.33958e-15,217207
4,103,2448.36,0.0537668,6.03888,4.41331,4427.71,2.15605e-19,21078,1.12838,6.68585,40.898,41973.6,1.30656e-20,160511,2424.4,0.0540032,6.10021,4.43614,4450.59,2.13183e-19,21062.1,1.15968,6.83804,41.7566,42862.6,1.29188e-20,160511,2451.36,0.0550878,6.84165,4.83636,4851.67,-1.17023e-19,21076.3,1.20861,7.38256,44.5182,45670.4,-7.09159e-21,160511
