rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group,groupVsnaive
8,105,0.0297903175828873,0,0,0.234460020410576,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,105,-0.0204134750438489,0,0,0.19350782949876,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,105,-0.0288115408806648,0,0,0.0325633551361812,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,106,-0.18392480967176,0,0,-0.233569606864717,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
2,106,-0.0446946046884701,0,0,-0.0376451140826811,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
3,106,-0.0499142247993125,0,0,-0.105748640049212,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
4,106,-0.0174318270243743,0,0,-0.186089586354943,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
5,106,0.0206546083251399,0,0,-0.126448894443858,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
6,106,0.0130239269013659,0,0,-0.0534744958600232,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
7,106,0.0551921591053804,0,0,-0.0705633313536612,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
8,106,0.0206184162982139,0,0,-0.258751848582062,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
9,106,0.0179973274389304,0,0,-0.00243092159982661,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
10,106,0.0767425951383278,0,0,-0.142945830686537,0,0,0,0,0,0,0,0,0,0,Naive,G_Naive
1,201,0.0548753705887395,0,0,-0.0952267201840366,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,201,-0.0621663480703086,0,0,-0.127186335316123,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,201,-0.0274764041275202,0,0,-0.119232404353659,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,201,0.048170934180124,0,0,0.080618581942087,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,201,0.0408427817832072,0,0,-0.0400771591816096,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,201,0.011547123376502,0,0,-0.270429679605532,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,201,0.161646627139289,0,0,-0.133114333543474,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,201,0.0787430641633333,0,0,-0.319598971892637,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,201,0.130652249124258,0,0,-0.155375998152362,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,201,0.043625554066616,0,0,-0.329284258788425,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,202,-0.0586527064927653,0,0,0.0652687022363553,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,202,-0.0745495550927396,0,0,-0.156361000088162,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,202,0.00762633320248822,0,0,0.22411448113123,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,202,-0.0435181837631103,0,0,-0.0785285999662207,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,202,-0.0691388701148243,0,0,0.114468857651806,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,202,-0.0652311326487017,0,0,0.235486501616915,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,202,-0.017044040406858,0,0,-0.0646583176334641,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,202,0.0166971574050885,0,0,0.0801379044161711,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,202,0.00847404913007337,0,0,0.16883922689168,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,202,-0.0392656173298679,0,0,0.0932198614060805,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,203,-0.144317109488962,0,0,-0.0636605577203234,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,203,0.0293592815869201,0,0,-0.0461061774026205,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,203,0.146539123344885,0,0,0.101147788594027,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,203,0.00984700497565076,0,0,0.0741319526355665,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,203,-0.0447476474641942,0,0,0.0594085513583219,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,203,-0.0822898394118737,0,0,0.02841352034793,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,203,-0.0531067774007533,0,0,-0.222756995339144,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,203,0.0438754130514159,0,0,0.480954233522123,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,203,0.0226745541828702,0,0,-0.095533012101631,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,203,0.0919385172228064,0,0,-0.0696153267407055,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,204,-0.0305631941720468,0,0,-0.0278464472238329,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,204,-0.046277876092947,0,0,-0.223578095466884,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,204,0.0170035506605963,0,0,-0.0106389090255294,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,204,-0.0760915128090287,0,0,-0.0634217453446804,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,204,-0.21651598181513,0,0,-0.398248209498508,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,204,-0.0121492531794669,0,0,0.0994729919818109,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,204,0.0573691434367152,0,0,-0.161597395872429,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,204,-0.0932310355480136,0,0,-0.0516217556079225,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,204,0.00906406375756814,0,0,0.0132515544413633,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,204,0.0967072066461058,0,0,0.0515170859524492,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,205,-0.0292399188840054,0,0,-0.16089873911613,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,205,-0.107093804651407,0,0,0.0706575599367364,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,205,0.157766724403499,0,0,0.252755554546483,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,205,0.0672793309607782,0,0,-1.95186424136344e-5,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,205,0.0376990601676816,0,0,-0.166724497991596,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,205,0.0539090739065178,0,0,0.101300864766425,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,205,0.0690360731790845,0,0,0.0214677034426433,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,205,0.0503623942416269,0,0,0.109051415900725,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,205,-0.0690725963167089,0,0,-0.0352873061757194,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,205,-0.16314366836328,0,0,-0.170865407293481,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,206,-0.0437608040791005,0,0,0.141653658274685,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,206,0.035601176406515,0,0,0.201408775038722,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,206,-0.0858058507859292,0,0,-0.102243487597434,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,206,-0.0931755137924047,0,0,0.100412072858906,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,206,-0.0478120416798154,0,0,0.197132079532822,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,206,-0.034588158002058,0,0,0.337810082507822,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,206,-0.0208962878178996,0,0,0.235715927532433,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,206,0.0979020696708581,0,0,0.740778506075655,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,206,-0.00260932393511072,0,0,0.32828511392129,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,206,-0.0839319874816008,0,0,-0.234875831350111,0,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,301,0.020611614167906,0,0,0.0296364447411355,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,301,0.0882183626159812,0,0,-0.0156828946417134,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,301,0.0295359125616484,0,0,-0.0110284288211489,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,301,0.00755192531424762,0,0,0.118576692897095,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,301,-0.0273061043632412,0,0,0.13170544088994,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,301,0.0164886142667718,0,0,-0.156284794106839,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,301,0.0629075948649932,0,0,-0.510147266929583,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,301,-0.0192676712074775,0,0,0.203825769620304,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,301,0.05540958294631,0,0,0.377137856312799,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,301,-0.00744368427149796,0,0,0.00415966210034567,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,302,-0.0716119006408488,0,0,-0.0150106028732998,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,302,-0.0763245343927268,0,0,0.115858689072844,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,302,0.0305250354270677,0,0,0.0352999117885169,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,302,-0.0232029595643266,0,0,0.0680098058386028,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,302,0.0287390409701608,0,0,0.146305647706661,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,302,-0.0945593511210071,0,0,-0.127738048434515,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,302,-0.0700149529159109,0,0,0.382746359851241,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,302,0.0223175143636451,0,0,0.219862317879814,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,302,-0.00786252381919977,0,0,-0.0767168997643155,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,302,0.089791304605888,0,0,0.380811285597671,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,303,-0.0855139038941326,0,0,0.158888396843754,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,303,0.0856291287971858,0,0,-0.0596137781620067,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,303,0.0191015858886956,0,0,-0.155203440800657,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,303,0.0349630345562846,0,0,-0.154130880410398,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,303,-0.020781835402404,0,0,0.336569457434596,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,303,0.0263740453346007,0,0,0.120155735780507,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,303,-0.0107790264941608,0,0,0.0395621795342172,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,303,-0.0764121764421895,0,0,0.0116833597258884,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,303,0.125569429244497,0,0,0.235389925035547,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,303,-0.0874384317828183,0,0,0.016929059304993,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,304,0.146457153598364,0,0,-0.176912492340142,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,304,-0.098319729557353,0,0,-0.388883246804601,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,304,0.0699269984001808,0,0,-0.0194662056657986,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,304,0.0227329033930512,0,0,-0.305058747053459,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,304,0.0676781328867137,0,0,-0.304319202214682,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
