time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
6,102,23.718,0.00171564,30.6764,10.2886,10279.9,6.38171e-39,14085.8,150.794,728.701,2185.8,2.33426e+6,3.54183e-40,799085,35.9044,0.00247441,34.2067,10.981,10972.3,-1.92525e-35,15529,136.959,675.428,1938.7,2.07359e+6,-1.06859e-36,799085,46.2409,0.00253556,27.401,8.97858,8971.95,-2.99238e-35,16602.9,115.429,549.899,1588.42,1.70215e+6,-1.66094e-36,799085
9,102,23.7154,4.985e-5,0.739524,0.289726,289.486,4.59575e-46,13507.8,29.3772,125.582,410.717,439654,2.5512e-47,440747,35.9004,7.91401e-5,0.883868,0.330043,329.792,4.52084e-42,14994.8,27.6598,120.366,375.514,402771,2.5091e-43,440747,46.237,7.15863e-5,0.613272,0.235955,235.79,6.9307e-43,16164,22.1037,91.9428,288.72,310513,3.84452e-44,440747
14,102,23.7153,5.58189e-8,0.000786343,0.000310329,0.310075,-9.15573e-62,13408.9,1.04931,4.53062,14.7201,15753.6,-5.08167e-63,502770,35.9003,1.00257e-7,0.00106629,0.000400782,0.400482,-3.39067e-57,14899.6,1.05511,4.63413,14.3601,15399.8,-1.88172e-58,502770,46.2369,7.01014e-8,0.000568176,0.0002204,0.22025,1.48899e-58,16090.5,0.762665,3.19908,9.9685,10720.4,8.25997e-60,502770
20,102,23.7153,2.01927e-11,3.07882e-7,1.16817e-7,0.00011672,6.5364e-73,13405.1,0.0238267,0.106516,0.340388,363.851,3.63376e-74,577199,35.9003,4.20411e-11,4.8276e-7,1.74664e-7,0.000174532,-9.76542e-72,14895.7,0.0258816,0.117634,0.358622,384.119,-5.40979e-73,577199,46.2369,2.16059e-11,1.90114e-7,7.07939e-8,7.07447e-5,-7.53463e-70,16087.8,0.0166596,0.0723766,0.221781,238.202,-4.18026e-71,577199
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,387296,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,387296,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,387296
1,103,4636.45,164.966,967.558,236.947,237163,13.5112,22060.6,44.3258,227.158,681.248,686707,0.818841,330600,4531.75,170.843,994.805,236.192,236419,13.5112,22029.4,46.4032,235.971,681.433,687185,0.818839,330600,4701.95,161.265,969.83,227.753,227952,13.5115,22080.5,42.7278,225.867,646.494,651485,0.818856,330600
2,103,4635.33,8.49482,232.225,90.4686,90682,2.63319e-8,22044.9,6.22559,62.2424,280.235,284275,1.59579e-9,273903,4530.61,8.7917,236.08,89.4258,89645,2.63306e-8,22013,6.49373,64.022,278.106,282327,1.5957e-9,273903,4700.88,8.29989,241.212,89.2601,89462.7,2.63494e-8,22065.9,5.88433,63.4765,271.561,275323,1.59685e-9,273903
3,103,4635.01,0.495786,43.2835,20.2803,20347.9,8.54343e-14,22039.8,1.48993,14.6666,73.9449,75264.9,5.17757e-15,217207,4530.28,0.510971,43.4162,19.8336,19902.3,9.64801e-14,22007.8,1.54111,14.9316,72.7085,74076.4,5.84697e-15,217207,4700.56,0.485449,46.881,20.6929,20758.9,-7.24691e-15,22061.1,1.41929,15.2941,73.1987,74451.5,-4.39186e-16,217207
4,103,4634.94,0.0390371,7.24161,3.75193,3766.89,1.10873e-18,22038.5,0.360919,3.29133,17.3631,17701.6,6.71922e-20,160511,4530.22,0.0397035,7.15672,3.62329,3638.32,-1.88546e-19,22006.5,0.369838,3.31649,16.9057,17253.4,-1.14264e-20,160511,4700.49,0.0389318,8.21055,3.98189,3996.98,-9.39775e-20,22059.9,0.350062,3.50287,17.5423,17869.9,-5.69531e-21,160511
6,103,4634.93,0.000629098,0.184764,0.102177,102.653,-9.436e-25,22038.2,0.0186537,0.162067,0.866436,884.193,-5.71849e-26,160173,4530.2,0.000614606,0.176989,0.0958584,96.3245,1.0775e-25,22006.1,0.0187449,0.160072,0.826936,844.823,6.52993e-27,160173,4700.48,0.000687298,0.230418,0.118538,119.057,8.30508e-26,22059.5,0.0187968,0.179136,0.909716,927.573,5.03314e-27,160173
