time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode
6,102,4.78101,0.00037952,13.1847,4.85924,4854.58,-9.56353e-41,11092.8,101.246,469.585,1404.03,1.50377e+6,-5.30685e-42,11.9917,0.00070847,16.7491,5.87122,5865.88,-6.01305e-40,13224,102.835,481.516,1379.27,1.48062e+6,-3.33624e-41,1.45459,0.000235919,11.1627,4.07837,4074.35,3.63713e-39,9152.02,89.2199,426.931,1272.53,1.36039e+6,2.02201e-40
9,102,4.78072,5.40011e-6,0.34686,0.127866,127.744,2.44103e-58,10745.4,17.6698,83.7477,252.787,270186,1.3529e-59,11.9909,1.60169e-5,0.50257,0.176204,176.044,9.49924e-55,12849.4,20.198,96.4447,278.563,298462,5.27018e-56,1.4545,1.49257e-6,0.268025,0.0979525,97.856,-3.59092e-54,8868,13.3907,65.4886,197.096,210276,-1.99603e-55
14,102,4.78071,1.25157e-8,0.00080713,0.00029754,0.297255,3.47156e-86,10676,0.959681,4.56875,13.8172,14762.1,1.91149e-87,11.9909,4.63428e-8,0.00145608,0.000510512,0.510048,-8.3712e-78,12764.2,1.33369,6.39744,18.5135,19827.4,-4.64382e-79,1.4545,2.93961e-9,0.000535591,0.000195737,0.195545,-1.92469e-79,8819.97,0.567774,2.78727,8.40271,8961.51,-1.06957e-80
20,102,4.78071,8.66321e-12,5.58684e-7,2.05953e-7,0.000205756,-1.07403e-119,10672.2,0.0290949,0.138546,0.41905,447.697,-5.91194e-121,11.9909,4.173e-11,1.31115e-6,4.59697e-7,0.000459279,9.12331e-114,12758.4,0.0510978,0.245183,0.709628,759.965,5.03924e-115,1.4545,1.69488e-12,3.08804e-7,1.12856e-7,0.000112745,4.9693e-113,8817.89,0.0127962,0.0628285,0.189421,202.015,2.76158e-114
0,103,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8,7500,0,0,0,0,6.555e+9,22727.3,0,0,0,0,3.97273e+8
1,103,4096.41,195.184,1017.42,261.092,261398,13.5111,21889.8,56.4169,253.736,749.246,757090,0.818827,4108.72,194.487,1013.8,253.512,253807,13.5111,21894.5,55.8858,252.291,726.495,734063,0.818827,4066.05,196.864,1043.95,259.653,259958,13.5111,21879.9,57.049,261.022,747.357,755259,0.818826
2,103,4095.1,10.0417,218.034,90.6787,90939.9,2.64454e-8,21869.1,8.03409,64.144,284.836,290199,1.60264e-9,4107.44,9.99696,217.248,88.0468,88299.8,2.64388e-8,21874.5,7.81781,63.4894,275.47,280638,1.60224e-9,4064.73,10.1284,228.832,91.659,91922.2,2.64436e-8,21858.8,8.16423,67.2421,288.349,293810,1.60253e-9
3,103,4094.74,0.576979,37.7617,18.7601,18835.8,1.6422e-16,21862.7,1.85057,14.8356,71.9893,73647.6,9.95221e-18,4107.1,0.572368,37.6203,18.2142,18287.6,7.61874e-17,21868.4,1.781,14.5788,69.2425,70834.7,4.61729e-18,4064.37,0.583473,40.6783,19.3607,19438.1,-5.58848e-17,21852.2,1.9077,15.8324,74.0879,75799.8,-3.38678e-18
4,103,4094.68,0.043016,6.21382,3.31304,3328.71,3.4288e-23,21861.2,0.440145,3.45727,17.0005,17417.4,2.07808e-24,4107.03,0.0423426,6.18931,3.21618,3231.35,4.30648e-23,21866.9,0.420379,3.37106,16.2357,16633.5,2.60997e-24,4064.3,0.044083,6.88333,3.50328,3519.62,3.03051e-23,21850.6,0.461199,3.75274,17.793,18230,1.83655e-24
6,103,4094.66,0.000626488,0.162852,0.0901853,90.6615,-2.80526e-31,21860.7,0.0242838,0.189623,0.933021,956.333,-1.70019e-32,4107.02,0.000608498,0.16213,0.0875111,87.9722,-3.37416e-31,21866.5,0.0228443,0.18205,0.877461,899.39,-2.04495e-32,4064.28,0.000682486,0.191149,0.100735,101.256,-2.18704e-31,21850.2,0.0263078,0.212819,1.00975,1035,-1.3254e-32
